Analyte,FlowRegime,Greenbelt Plateau,Superior Associates,Highway 36,CTC Open Space
Li_Filtered,Snowmelt,a,ab,b,b
Na_Filtered,Snowmelt,a,a,a,a
Mg_Filtered,Snowmelt,ab,b,b,a
Al_Filtered,Snowmelt,a,a,a,a
K_Filtered,Snowmelt,a,a,b,b
Ca_Filtered,Snowmelt,a,a,a,a
V_Filtered,Snowmelt,a,a,a,a
Cr_Filtered,Snowmelt,a,a,a,a
Mn_Filtered,Snowmelt,ab,b,a,a
Fe_Filtered,Snowmelt,a,a,a,a
Co_Filtered,Snowmelt,a,a,a,a
Ni_Filtered,Snowmelt,a,a,a,a
Cu_Filtered,Snowmelt,a,a,a,a
Zn_Filtered,Snowmelt,a,a,a,a
As_Filtered,Snowmelt,a,a,a,a
Se_Filtered,Snowmelt,a,a,a,a
Sr_Filtered,Snowmelt,abc,c,b,a
Cd_Filtered,Snowmelt,a,a,a,a
Ba_Filtered,Snowmelt,a,a,a,a
Tl_Filtered,Snowmelt,a,a,a,a
Pb_Filtered,Snowmelt,a,a,a,a
U_Filtered,Snowmelt,a,c,a,b
Li_Total,Snowmelt,a,a,a,a
Na_Total,Snowmelt,b,ab,a,a
Mg_Total,Snowmelt,a,a,a,a
Al_Total,Snowmelt,a,a,a,a
K_Total,Snowmelt,b,bc,a,c
Ca_Total,Snowmelt,a,a,a,a
V_Total,Snowmelt,a,a,a,a
Cr_Total,Snowmelt,a,a,a,a
Mn_Total,Snowmelt,b,b,a,b
Fe_Total,Snowmelt,ab,ab,a,b
Co_Total,Snowmelt,b,ab,a,a
Ni_Total,Snowmelt,a,a,a,a
Cu_Total,Snowmelt,a,a,a,a
Zn_Total,Snowmelt,a,a,a,a
As_Total,Snowmelt,a,a,a,a
Se_Total,Snowmelt,a,a,a,a
Sr_Total,Snowmelt,a,a,a,a
Cd_Total,Snowmelt,a,a,a,a
Ba_Total,Snowmelt,a,ab,ab,b
Tl_Total,Snowmelt,a,a,a,a
Pb_Total,Snowmelt,a,a,a,a
U_Total,Snowmelt,b,d,a,c
Hardness,Snowmelt,ab,b,b,a
Temp,Snowmelt,a,ab,b,b
pH,Snowmelt,a,ab,b,b
Turbidity,Snowmelt,a,a,a,a
Conductivity,Snowmelt,a,ab,ab,b
TSS,Snowmelt,a,a,a,a
Alkalinity,Snowmelt,a,a,a,a
NPOC,Snowmelt,a,ab,b,b
TDN,Snowmelt,a,ab,b,b
Ammonia,Snowmelt,a,a,a,a
TDP,Snowmelt,a,a,a,a
Chloride,Snowmelt,a,ab,b,b
Sulfate,Snowmelt,a,ab,b,b
Fluoride,Snowmelt,a,ab,ab,b
Bromide,Snowmelt,a,a,a,a
Li_Filtered,Baseflow,a,a,b,c
Na_Filtered,Baseflow,a,b,a,c
Mg_Filtered,Baseflow,ab,a,b,c
Al_Filtered,Baseflow,ab,a,a,b
K_Filtered,Baseflow,a,b,c,a
Ca_Filtered,Baseflow,abc,a,b,c
V_Filtered,Baseflow,a,a,a,b
Cr_Filtered,Baseflow,a,a,a,a
Mn_Filtered,Baseflow,ab,a,c,b
Fe_Filtered,Baseflow,ab,ab,a,b
Co_Filtered,Baseflow,a,ab,a,b
Ni_Filtered,Baseflow,a,bc,b,c
Cu_Filtered,Baseflow,a,a,a,a
Zn_Filtered,Baseflow,a,a,a,a
As_Filtered,Baseflow,ab,ab,a,b
Se_Filtered,Baseflow,a,a,a,a
Sr_Filtered,Baseflow,ab,a,b,c
Cd_Filtered,Baseflow,a,a,a,a
Ba_Filtered,Baseflow,a,a,a,a
Tl_Filtered,Baseflow,a,a,a,a
Pb_Filtered,Baseflow,ab,a,ab,b
U_Filtered,Baseflow,a,b,a,c
Li_Total,Baseflow,a,a,b,c
Na_Total,Baseflow,a,b,a,c
Mg_Total,Baseflow,ab,a,b,c
Al_Total,Baseflow,a,a,a,a
K_Total,Baseflow,a,a,b,a
Ca_Total,Baseflow,abc,a,b,c
V_Total,Baseflow,a,a,a,b
Cr_Total,Baseflow,a,b,bc,c
Mn_Total,Baseflow,a,b,a,ab
Fe_Total,Baseflow,a,a,a,a
Co_Total,Baseflow,a,ab,a,b
Ni_Total,Baseflow,a,bc,ab,c
Cu_Total,Baseflow,a,bc,ab,c
Zn_Total,Baseflow,a,a,a,a
As_Total,Baseflow,a,bc,b,c
Se_Total,Baseflow,a,b,b,b
Sr_Total,Baseflow,ab,a,b,c
Cd_Total,Baseflow,a,ab,ab,b
Ba_Total,Baseflow,a,a,a,a
Tl_Total,Baseflow,a,a,a,a
Pb_Total,Baseflow,a,ab,ab,b
U_Total,Baseflow,a,b,a,c
Hardness,Baseflow,ab,a,b,c
Temp,Baseflow,a,ab,b,ab
pH,Baseflow,a,a,b,ab
Turbidity,Baseflow,c,a,b,a
Conductivity,Baseflow,ab,a,b,c
TSS,Baseflow,a,a,a,a
Alkalinity,Baseflow,a,b,a,c
NPOC,Baseflow,a,a,a,a
TDN,Baseflow,a,a,a,a
Ammonia,Baseflow,a,a,a,a
TDP,Baseflow,a,b,a,a
Chloride,Baseflow,b,b,ab,a
Sulfate,Baseflow,a,a,a,a
Fluoride,Baseflow,bc,c,b,a
Nitrite,Baseflow,a,NA,a,a
Bromide,Baseflow,ab,b,a,a
Nitrate,Baseflow,ab,b,a,a
Phosphate,Baseflow,a,NA,a,NA
Li_Filtered,Rain,b,c,ab,a
Na_Filtered,Rain,a,b,b,ab
Mg_Filtered,Rain,a,ab,b,ab
Al_Filtered,Rain,a,a,a,a
K_Filtered,Rain,a,a,a,a
Ca_Filtered,Rain,a,ab,b,ab
V_Filtered,Rain,ab,b,a,ab
Cr_Filtered,Rain,b,ab,ab,a
Mn_Filtered,Rain,a,a,a,a
Fe_Filtered,Rain,a,a,a,a
Co_Filtered,Rain,b,a,a,a
Ni_Filtered,Rain,a,a,a,a
Cu_Filtered,Rain,a,a,a,a
Zn_Filtered,Rain,a,ab,b,ab
As_Filtered,Rain,b,ab,ab,a
Se_Filtered,Rain,a,a,a,a
Sr_Filtered,Rain,a,ab,b,ab
Cd_Filtered,Rain,a,a,a,a
Ba_Filtered,Rain,a,ab,b,ab
Tl_Filtered,Rain,a,a,a,a
Pb_Filtered,Rain,ab,b,ab,a
U_Filtered,Rain,a,b,ab,a
Li_Total,Rain,b,ab,b,a
Na_Total,Rain,a,b,b,a
Mg_Total,Rain,a,ab,b,ab
Al_Total,Rain,a,a,a,a
K_Total,Rain,a,a,a,a
Ca_Total,Rain,a,ab,b,ab
V_Total,Rain,a,a,a,a
Cr_Total,Rain,b,ab,ab,a
Mn_Total,Rain,a,a,a,a
Fe_Total,Rain,a,a,a,a
Co_Total,Rain,b,ab,b,a
Ni_Total,Rain,b,ab,b,a
Cu_Total,Rain,b,b,b,a
Zn_Total,Rain,a,a,a,a
As_Total,Rain,b,b,b,a
Se_Total,Rain,a,a,a,a
Sr_Total,Rain,a,ab,b,ab
Cd_Total,Rain,b,b,ab,a
Ba_Total,Rain,a,a,a,a
Tl_Total,Rain,a,a,a,a
Pb_Total,Rain,a,a,a,a
U_Total,Rain,ab,c,bc,a
Hardness,Rain,a,ab,b,ab
Temp,Rain,a,a,a,a
pH,Rain,a,a,a,a
Turbidity,Rain,a,a,a,a
Conductivity,Rain,a,ab,b,ab
TSS,Rain,a,a,a,a
Alkalinity,Rain,ab,c,bc,a
NPOC,Rain,a,b,a,a
TDN,Rain,a,a,a,a
Ammonia,Rain,ab,b,a,a
TDP,Rain,b,a,NA,NA
Chloride,Rain,a,c,b,a
Sulfate,Rain,a,b,b,ab
Fluoride,Rain,a,a,a,a
Bromide,Rain,ab,b,ab,a
Nitrate,Rain,a,a,a,a
Li_Filtered,NA,a,a,c,b
Na_Filtered,NA,a,c,ac,b
Mg_Filtered,NA,a,c,ac,b
Al_Filtered,NA,ab,b,ab,a
K_Filtered,NA,a,a,c,b
Ca_Filtered,NA,ab,c,bc,a
V_Filtered,NA,ab,b,a,a
Cr_Filtered,NA,a,ab,ab,b
Mn_Filtered,NA,ab,b,c,a
Fe_Filtered,NA,ab,b,ab,a
Co_Filtered,NA,a,bc,c,b
Ni_Filtered,NA,a,bc,c,b
Cu_Filtered,NA,a,b,ab,b
Zn_Filtered,NA,a,a,a,a
As_Filtered,NA,a,ab,a,b
Se_Filtered,NA,a,a,a,a
Sr_Filtered,NA,a,c,a,b
Cd_Filtered,NA,a,a,a,a
Ba_Filtered,NA,a,ab,ab,b
Tl_Filtered,NA,a,a,a,a
Pb_Filtered,NA,a,b,ab,a
U_Filtered,NA,a,c,a,b
Li_Total,NA,b,b,a,a
Na_Total,NA,a,c,ab,b
Mg_Total,NA,ac,b,ab,c
Al_Total,NA,a,a,a,a
K_Total,NA,b,b,a,b
Ca_Total,NA,a,b,ab,a
V_Total,NA,ab,b,ab,a
Cr_Total,NA,c,bc,ab,a
Mn_Total,NA,ab,b,a,a
Fe_Total,NA,a,a,a,a
Co_Total,NA,ab,bc,a,c
Ni_Total,NA,a,bc,ab,c
Cu_Total,NA,a,a,a,b
Zn_Total,NA,a,a,a,a
As_Total,NA,b,ab,a,c
Se_Total,NA,a,a,a,a
Sr_Total,NA,ab,b,a,c
Cd_Total,NA,a,a,ab,b
Ba_Total,NA,a,a,a,a
Tl_Total,NA,a,a,a,a
Pb_Total,NA,a,a,a,a
U_Total,NA,a,c,a,b
Hardness,NA,ab,c,bc,a
Temp,NA,a,ab,b,b
pH,NA,a,a,b,a
Turbidity,NA,a,a,b,a
Conductivity,NA,ab,b,a,c
TSS,NA,a,a,a,a
Alkalinity,NA,a,c,a,b
NPOC,NA,a,a,a,a
TDN,NA,a,ac,b,bc
Ammonia,NA,a,a,a,a
TDP,NA,a,b,a,a
Chloride,NA,a,c,a,b
Sulfate,NA,a,b,b,ab
Fluoride,NA,ab,b,a,c
Nitrite,NA,a,NA,a,a
Bromide,NA,a,c,ab,b
Nitrate,NA,ab,b,ab,a
Phosphate,NA,a,NA,a,NA
